gene_used1,gene_used2,gene_used3
8639,8639,26
,,
,,
,,
,,
,,
1591,1591,1591
1591,1591,1591
1594,1594,1594
1594,1594,1594
10993,10993,10993
6818,6818,6818
,,
3945,3945,3939
8050,8050,8050
128,128,128
1312,1312,1312
220,221,220
221,221,221
220,221,220
221,221,221
,,
3242,3242,3242
,,
,,
,,
2531,2531,2531
23498,23498,23498
55268,55268,55268
,,
51166,51166,883
1644,1644,1644
26275,26275,26275
,,
1644,1644,1644
4128,4129,4128
220,221,220
220,221,220
220,221,220
4128,4129,4128
53,51205,54
51380,2571,51380
,,
2805,2805,2805
2806,2806,2806
,,
,,
4128,4129,4128
4128,4129,4128
8639,4129,26
,,
,,
8659,8659,8659
220,221,220
6799,6817,6818
6818,6822,6818
1644,1644,1644
316,316,316
217,217,217
4128,4129,4128
3620,3620,3620
1644,1644,1644
4128,4129,4128
4123,4123,4123
4125,4125,4125
53947,53947,53947
53947,53947,53947
51146,51146,51146
51146,51146,51146
65985,65985,65985
8639,8639,8639
,,
51166,51166,51166
28,28,28
28,28,28
28,28,28
28,28,28
28,28,28
28,28,28
28,28,28
28,28,28
28,28,28
18,18,18
,,
223,223,223
38,3032,3032
39,39,39
38,38,3032
39,39,39
30,30,30
30,30,30
30,30,30
30,30,30
30,30,30
30,30,30
31,31,31
32,32,32
55902,55902,55902
79611,79611,84532
,,
,,
5973,5973,5973
64841,64841,64841
55577,55577,55577
5238,5238,5238
9487,9487,9487
162417,162417,162417
43,43,43
47,47,47
54187,54187,54187
54187,54187,54187
140838,51205,54
,,
34,34,34
34,34,34
3712,3712,3712
34,34,34
134526,134526,134526
51,51,51
2194,2194,2194
95,95,95
48,48,3658
48,50,50
8309,8309,8309
8309,8309,8309
52,52,54
55902,55902,55902
55902,55902,55902
84532,84532,84532
438,438,438
438,438,438
1571,1571,1571
1571,1571,1571
98,97,112611
100,100,100
100,100,100
,,
204,204,204
204,204,204
26289,26289,26289
50808,50808,50808
26289,26289,26289
262,262,262
109,108,113
132,132,132
,,
11164,11164,11164
11164,11164,11164
11164,11164,11164
53343,53343,53343
353,353,353
1374,126129,1375
1376,1376,1376
9060,9060,9061
9060,9060,9061
158,158,158
158,158,158
122622,122622,159
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
146712,93010,10331
51005,51005,51005
,,
,,
,,
,,
,,
,,
79814,79814,79814
10555,137964,137964
5832,5832,5832
64850,64850,64850
189,189,189
10768,10768,191
3074,3074,3074
3074,3074,3074
471,471,471
8050,8050,8050
1645,1645,1645
1109,1109,1109
1109,1109,1109
6718,6718,6718
6718,6718,6718
,,
211,211,211
84706,84706,2875
125,125,128
125,125,128
125,125,128
125,125,128
10327,10327,10327
223,224,223
217,217,217
224,224,224
223,224,219
217,217,217
223,224,219
249,249,249
239,239,239
242,242,242
247,247,246
240,240,240
240,240,240
10327,231,10327
10327,231,10327
23600,23600,23600
23600,23600,23600
23600,23600,23600
23600,23600,23600
55577,55577,55577
,,
271,271,271
290,290,290
290,290,290
280,280,279
280,280,279
,,
318,318,318
18,18,18
,,
,,
,,
,,
4128,4129,4128
10327,231,10327
1374,126129,1375
1376,1376,1376
113451,113451,113451
383,384,384
384,384,384
435,435,435
445,445,445
410,410,410
,,
,,
,,
,,
,,
,,
,,
427,427,427
,,
80150,80150,80150
440,440,440
2571,2571,2571
790,790,790
,,
2805,2805,2805
2806,2806,2806
956,955,953
956,955,953
4126,4126,4126
8706,8706,8706
8705,8705,8705
8705,8705,8705
8705,8705,8705
8705,8705,8705
10317,10317,10317
,,
10678,10678,10678
10678,10678,10678
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
10331,10331,10331
84002,84002,84002
570,570,570
570,570,570
570,570,570
3141,3141,3141
3141,3141,3141
223,224,223
217,217,217
8424,8424,8424
53630,53630,53630
,,
622,622,622
,,
,,
23743,23743,23743
645,645,644
,,
10380,10380,10380
10380,10380,10380
686,686,686
686,686,686
686,686,686
686,686,686
3141,3141,3141
3141,3141,3141
51733,51733,51733
7108,7108,7108
1374,126129,1375
1376,1376,1376
1374,126129,1375
1374,126129,1375
1376,1376,1376
1376,1376,1376
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
3032,3030,3032
1891,1891,1891
50814,50814,50814
50814,50814,50814
3295,3295,3295
6307,6307,6307
50814,50814,50814
50814,6307,6307
847,847,847
847,847,847
847,847,847
,,
166785,166785,166785
92579,92579,92579
790,790,790
1373,1373,1373
873,873,873
873,873,873
10423,10423,10423
8760,1040,8760
8760,1040,8760
56994,56994,10390
10390,10390,10390
64781,64781,64781
9023,9023,9023
1103,1103,1103
1103,1103,1103
162466,162466,162466
5130,5130,5130
55349,55349,55349
1120,1119,1120
6818,6818,6818
1118,1118,1118
27159,27159,27159
,,
,,
,,
1160,1160,1159
1152,1152,1152
1374,126129,1375
1376,1376,1376
54675,54675,54675
55907,55907,55907
55907,55907,55907
8824,8824,8824
51805,51805,51805
,,
51004,51004,51004
10229,10229,10229
2650,51301,9245
192134,192134,192134
9245,9245,9245
,,
2650,2650,2650
,,
,,
,,
5130,5130,5130
1371,1371,1371
,,
,,
,,
,,
,,
,,
1431,1431,1431
1384,1384,1384
1384,54677,54677
1384,1384,1384
1384,1384,1384
1384,1384,1384
1384,1384,1384
1384,1384,1384
,,
56474,56474,1503
56474,56474,1503
,,
,,
1036,1036,1036
2805,2805,2805
2806,2806,2806
1491,1491,1491
875,875,875
978,978,57379
7371,83549,7371
,,
57379,57379,57379
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
129607,129607,129607
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
51727,51727,51727
64902,64902,64902
100,100,100
100,100,100
,,
8526,1608,1606
8525,9162,8525
1610,1610,1610
1610,1610,1610
,,
2745,2745,2745
8528,8528,8528
10455,10455,10455
,,
1633,1633,1633
1633,1633,1633
1635,1635,1635
1374,126129,1375
1376,1376,1376
1638,1638,1638
978,978,57379
57379,57379,57379
,,
,,
,,
,,
6319,6319,6319
9415,9415,9415
6319,6319,6319
6319,6319,6319
6319,6319,6319
9415,9415,9415
9415,9415,9415
9415,9415,9415
9415,9415,9415
3992,3992,3992
3992,3992,3992
,,
,,
9415,9415,9415
84649,8694,8694
2987,2987,2987
,,
1716,1716,1716
,,
8443,8443,8443
8443,8443,8443
1718,1718,1718
1718,1718,1718
1718,1718,1718
1717,1717,1717
1717,1717,1717
8560,8560,8560
8560,8560,8560
51805,51805,51805
6818,6822,6818
1719,1719,1719
790,790,790
1809,1807,1809
1807,1807,1807
5860,5860,5860
,,
,,
1374,126129,1375
1376,1376,1376
,,
9453,9453,9453
2224,2224,2224
29958,29958,29958
,,
,,
,,
,,
1788,1787,1786
1788,1787,1786
,,
,,
,,
,,
,,
,,
,,
,,
29929,29929,29929
,,
79053,79053,79053
,,
84920,84920,84920
,,
,,
,,
,,
,,
,,
,,
26002,1621,26002
7299,7299,7299
1312,1312,1312
,,
6799,6817,6818
1610,1610,1610
80347,80347,80347
5223,5223,5223
5223,5223,5223
,,
4597,4597,4597
,,
1610,1610,1610
64080,64080,64080
51071,51071,51071
,,
1841,1841,1841
1806,1806,1806
1806,1806,1806
7084,7084,7083
7084,7084,7084
4860,4860,4860
1854,1854,1854
1854,1854,1854
10682,10682,10682
10682,10682,10682
,,
1892,3030,3032
1892,3030,3032
1891,1891,1891
1892,3030,3032
13,13,13
2805,2805,2805
2806,2806,2806
2806,2806,2806
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
64772,64772,64772
64772,64772,64772
,,
,,
,,
,,
,,
,,
,,
,,
,,
2023,2023,2023
5833,5833,5833
6818,6817,6818
2109,2109,2109
2110,2110,2110
1120,55224,1120
162466,162466,162466
1571,1571,1571
8790,8790,8790
2530,2530,2530
55301,55301,55301
55301,55301,55301
55301,55301,55301
2194,55301,2194
55301,55301,55301
55301,55301,55301
55301,55301,55301
,,
,,
55301,55301,55301
2181,2181,2181
2180,23305,2180
2180,23305,2180
2180,2180,2180
2180,23305,2180
2180,23305,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
2180,2180,2180
11001,11001,11001
2180,2180,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
2180,23305,2180
11001,11001,11001
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
2180,23305,2180
2180,2180,2180
116285,116285,116285
